DATE,GDPC1,GDPDEF_PC1,GDPPOT,CPILFESL_PC1,FEDFUNDS,WEEKS_SINCE_REC,ERA,PRE_GR,TAYLORRATE,DIFF,PERCENT_DIFF,TAYLORRATE_MOD,DIFF_MOD,PERCENT_DIFF_MOD
4/1/1960,3111.3,1.44818,3125.7,1.77076,3.7,0,4/1/60,1,3.169966516,-0.530033484,-0.143252293,3.055346516,-0.644653484,-0.174230671
7/1/1960,3119.1,1.43701,3156.8,1.21391,2.94,13,4/1/60,1,3.149543763,0.209543763,0.071273389,2.756498763,-0.183501237,-0.062415387
10/1/1960,3081.3,1.35057,3188.3,1.09749,2.3,26,4/1/60,1,3.009074898,0.709074898,0.308293434,2.557819898,0.257819898,0.112095608
1/1/1961,3102.3,1.15537,3219.8,0.87022,2,39,4/1/60,1,2.714808525,0.714808525,0.357404263,2.149918525,0.149918525,0.074959263
4/1/1961,3159.9,1.13513,3250.7,0.97934,1.73,52,4/1/60,1,2.688728777,0.958728777,0.554178484,2.178398777,0.448398777,0.259190045
7/1/1961,3212.6,1.03393,3281.9,1.52614,1.68,65,4/1/60,1,2.540337091,0.860337091,0.512105412,2.303407091,0.623407091,0.37107565
10/1/1961,3277.7,1.05353,3313.8,1.30009,2.4,78,4/1/60,1,2.574848081,0.174848081,0.072853367,2.224893081,-0.175106919,-0.072961216
1/1/1962,3336.8,1.35811,3346.4,1.29731,2.46,91,4/1/60,1,3.035730623,0.575730623,0.234036839,2.684385623,0.224385623,0.091213668
4/1/1962,3372.7,1.27544,3380.8,1.40303,2.61,104,4/1/60,1,2.911962059,0.301962059,0.115694275,2.613477059,0.003477059,0.001332206
7/1/1962,3404.8,1.22124,3416.4,1.28754,2.85,117,4/1/60,1,2.830162307,-0.019837693,-0.006960594,2.473932307,-0.376067693,-0.131953577
10/1/1962,3418,1.08763,3453,1.17432,2.92,130,4/1/60,1,2.626376943,-0.293623057,-0.100555841,2.213536943,-0.706463057,-0.241939403
1/1/1963,3456.1,1.00914,3491.4,1.17504,2.97,143,4/1/60,1,2.508654721,-0.461345279,-0.155335111,2.096174721,-0.873825279,-0.294217266
4/1/1963,3501.1,1.0131,3530.2,1.16683,2.96,156,4/1/60,1,2.51552842,-0.44447158,-0.150159317,2.09894342,-0.86105658,-0.290897493
7/1/1963,3569.5,0.92722,3569.6,1.27117,3.33,169,4/1/60,1,2.390815993,-0.939184007,-0.282037239,2.026400993,-1.303599007,-0.391471173
10/1/1963,3595,1.54978,3609.3,1.58564,3.45,182,4/1/60,1,3.322689006,-0.127310994,-0.036901737,3.115509006,-0.334490994,-0.096953911
1/1/1964,3672.7,1.42643,3648.4,1.89873,3.46,195,4/1/60,1,3.142975227,-0.317024773,-0.091625657,3.092340227,-0.367659773,-0.10626005
4/1/1964,3716.4,1.50163,3687.9,1.57565,3.49,208,4/1/60,1,3.256308988,-0.233691012,-0.066960175,3.044133988,-0.445866012,-0.127755304
7/1/1964,3766.9,1.78759,3727.8,1.35877,3.46,221,4/1/60,1,3.68662938,0.22662938,0.065499821,3.36601438,-0.09398562,-0.027163474
10/1/1964,3780.2,1.42732,3768.2,1.35485,3.58,234,4/1/60,1,3.142572272,-0.437427728,-0.122186516,2.819997272,-0.760002728,-0.212291265
1/1/1965,3873.5,1.61432,3809.3,1.24224,3.97,248,4/1/60,1,3.429906745,-0.540093255,-0.136043641,3.051026745,-0.918973255,-0.231479409
4/1/1965,3926.4,1.82334,3850.3,1.44883,4.08,260,4/1/60,1,3.744892347,-0.335107653,-0.082134229,3.469307347,-0.610692653,-0.149679572
7/1/1965,4006.2,1.81601,3891.9,1.34056,4.07,273,4/1/60,1,3.738699344,-0.331300656,-0.081400652,3.408979344,-0.661020656,-0.162412937
10/1/1965,4100.6,2.04048,3934.3,1.33366,4.17,287,4/1/60,1,4.081854636,-0.088145364,-0.021137977,3.748684636,-0.421315364,-0.101034859
1/1/1966,4201.9,2.18644,3977.3,1.43252,4.56,300,4/1/60,1,4.307895235,-0.252104765,-0.055286133,4.024155235,-0.535844765,-0.117509817
4/1/1966,4219.1,2.56809,4022,2.14067,4.91,313,4/1/60,1,4.876637735,-0.033362265,-0.006794759,4.946972735,0.036972735,0.007530089
7/1/1966,4249.2,3.15604,4067.7,2.95421,5.41,326,4/1/60,1,5.756369905,0.346369905,0.064024012,6.233474905,0.823474905,0.152213476
10/1/1966,4285.6,3.33103,4114.5,3.44377,5.56,339,4/1/60,1,6.01733732,0.45733732,0.082254914,6.73922232,1.17922232,0.212090345
1/1/1967,4324.9,3.09354,4162.8,3.52617,4.82,352,4/1/60,1,5.659780068,0.839780068,0.17422823,6.422865068,1.602865068,0.33254462
4/1/1967,4328.7,2.77037,4211.8,3.29341,3.99,365,4/1/60,1,5.169432677,1.179432677,0.295597162,5.816137677,1.826137677,0.457678616
7/1/1967,4366.1,2.75405,4261.3,3.46291,3.89,378,4/1/60,1,5.143371717,1.253371717,0.322203526,5.874826717,1.984826717,0.510238231
10/1/1967,4401.2,3.00806,4311.1,3.52599,4.17,391,4/1/60,1,5.522539769,1.352539769,0.324350065,6.285534769,2.115534769,0.507322487
1/1/1968,4490.6,3.7215,4360.5,4.18894,4.79,404,4/1/60,1,6.597168014,1.807168014,0.377279335,7.691638014,2.901638014,0.60576994
4/1/1968,4566.4,4.28768,4411,4.44348,5.98,417,4/1/60,1,7.449135053,1.469135053,0.245674758,8.670875053,2.690875053,0.449979106
7/1/1968,4599.3,4.3176,4461.3,4.77816,5.94,430,4/1/60,1,7.491866344,1.551866344,0.26125696,8.880946344,2.940946344,0.495108812
10/1/1968,4619.8,4.64444,4510.9,5.20535,5.92,443,4/1/60,1,7.978730762,2.058730762,0.347758575,9.581405762,3.661405762,0.618480703
1/1/1969,4691.6,4.56875,4559.5,5.32705,6.57,456,4/1/60,1,7.867611238,1.297611238,0.197505516,9.531136238,2.961136238,0.450705668
4/1/1969,4706.7,4.79906,4606.2,5.92235,8.33,469,4/1/60,1,8.209499209,-0.120500791,-0.014465881,10.17067421,1.840674209,0.220969293
7/1/1969,4736.1,5.2352,4651.2,5.93162,8.98,482,4/1/60,1,8.861926677,-0.118073323,-0.013148477,10.82773668,1.847736677,0.205761323
10/1/1969,4715.5,5.10501,4694.3,5.84347,8.94,495,4/1/60,1,8.659773058,-0.280226942,-0.031345296,10.58150806,1.641508058,0.183613877
1/1/1970,4707.1,5.49088,4734.2,6.03189,8.57,4,12/1/69,1,9.233457848,0.663457848,0.077416318,11.24940285,2.679402848,0.312649107
4/1/1970,4715.4,5.61243,4771.5,6.28815,7.88,17,12/1/69,1,9.412766345,1.532766345,0.194513496,11.55684135,3.676841345,0.466604232
7/1/1970,4757.2,5.00229,4807.5,6.20155,6.7,30,12/1/69,1,8.498203591,1.798203591,0.268388596,10.59897859,3.898978591,0.581937103
